+----------------------------------+---------+---------+---------+---------+---------+---------+---------+----------+-------------------------+
|      Word//word combination      | Score 1 | Score 2 | Score 3 | Score 4 | Score 5 | Score 6 | Score 7 | My score | Average sentiment score |
|          автозаправний           |    0    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|            автокрад≥й            |    -2   |    -2   |    -2   |    -2   |    Ч    |    Ч    |    Ч    |    -2    |          -2,00          |
|             автокран             |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|          автомаг≥страль          |    0    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|             автомат              |    -1   |    -1   |    -1   |    0    |    Ч    |    Ч    |    Ч    |    -2    |          -1,00          |
|          автоматизац≥€           |    0    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    2     |           0,80          |
|         автоматизований          |    0    |    0    |    0    |    2    |    Ч    |    Ч    |    Ч    |    2     |           0,80          |
|          автоматизувати          |    0    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|           автоматичний           |    1    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|           автоматично            |    0    |    1    |    0    |    0    |    1    |    1    |    0    |    1     |           0,50          |
|        автомоб≥лебуд≥вний        |    2    |    2    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           1,40          |
|            автомоб≥ль            |    2    |    0    |    2    |    2    |    1    |    1    |    0    |    0     |           1,00          |
|          автомоб≥льний           |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    0     |           0,20          |
|            автоном≥€             |    1    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    2     |           1,20          |
|            автономний            |    1    |    0    |    1    |    0    |    1    |    0    |    0    |    2     |           0,63          |
|             автопарк             |    1    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|           автопатруль            |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|           автопригода            |    -1   |    -1   |    -1   |    0    |    Ч    |    Ч    |    Ч    |    -1    |          -0,80          |
|            автопроб≥г            |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|              автор               |    1    |    0    |    1    |    1    |    1    |    1    |    0    |    0     |           0,63          |
|           авторизувати           |    1    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|           авторитарний           |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            авторитет             |    2    |    1    |    1    |    1    |    1    |    0    |    2    |    2     |           1,25          |
|           авторитетний           |    2    |    0    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|            авторство             |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            авторський            |    1    |    1    |    1    |    2    |    1    |    1    |    1    |    2     |           1,25          |
|          автотранспорт           |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|         автотранспортний         |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|           автоф≥ксац≥€           |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|             автошл€х             |    1    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|              агама               |    1    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    0     |           0,40          |
|             агенство             |    0    |    0    |    0    |    1    |    1    |    0    |    0    |    1     |           0,38          |
|              агент               |    1    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             агенц≥€              |    0    |    2    |    1    |    0    |    0    |    0    |    0    |    1     |           0,50          |
|           аг≥тац≥йний            |    -1   |    -1   |    0    |    0    |    Ч    |    Ч    |    Ч    |    -1    |          -0,60          |
|             аг≥тац≥€             |    -1   |    -2   |    1    |    1    |    1    |    0    |    1    |    1     |           0,25          |
|            аг≥тувати             |    1    |    1    |    1    |    -1   |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
